risk_band,credit_amount_bucket,applicant_count,avg_default_probability,avg_priority_score,max_priority_score
Critical Risk,1M+,1933,0.7679929297101094,96.76524573202276,121.36
Critical Risk,750k-1M,3054,0.7714026776808008,93.73477406679764,113.07
Critical Risk,500k-750k,8475,0.7850390515081656,93.04734867256637,113.25
Critical Risk,250k-500k,12470,0.7846950810940361,90.9018027265437,110.25
Critical Risk,<250k,4949,0.7756346110767594,88.16068700747626,106.48
High Risk,1M+,6389,0.5876193425456212,60.294241665362335,80.98
High Risk,750k-1M,7167,0.5909066929777418,58.36739500488349,70.04
High Risk,500k-750k,12745,0.596895906825356,57.54444017261671,68.41
High Risk,250k-500k,17806,0.59840672850692,56.308157362686735,66.75
High Risk,<250k,9471,0.5959157312542608,55.00684088269454,65.01
Medium Risk,1M+,16506,0.3584680604954147,28.38394886707864,44.06
Medium Risk,750k-1M,15397,0.36361359986893305,27.637398194453468,38.51
Medium Risk,500k-750k,20979,0.36628076613106214,27.1842261308928,37.55
Medium Risk,250k-500k,27553,0.3676940158588172,26.602579029506767,36.69
Medium Risk,<250k,17519,0.3640890756924782,25.844965466065414,35.74
Low Risk,750k-1M,17481,0.149393193758302,8.520413591899777,14.44
Low Risk,1M+,25157,0.14208376272646864,8.493025002981277,18.44
Low Risk,500k-750k,22895,0.1478623592520529,8.233433937540948,14.09
Low Risk,250k-500k,32306,0.14340049757566545,7.776400668606451,13.75
Low Risk,<250k,27259,0.13139121345905813,6.99294581606075,13.41
